Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.000159774402317, relu, 0.0473784471547, 64 96, 0.772944152355
0.106449199545, relu, 0.015165215999, 32 64, 0.630537986755
0.892611887862, leaky_relu, 0.000271318945959, 32 64 128, 4544.71533203
0.79650399067, leaky_relu, 0.00651659856771, 64 96, 35818.78125
0.0120663776752, relu, 0.0266824050794, 32 64, 0.673579514027
0.000157878059033, leaky_relu, 0.000248447071012, 64 128 96, 0.689890325069
0.0808457647969, leaky_relu, 1.20776164539e-05, 128 32 64 96, 0.973397374153
0.0476250463, relu, 2.84211184517e-05, 32 128 64 96, 1.12703311443
0.000961222571316, relu, 0.000877313374112, 32 96 128, 0.7746950984
0.188996853387, relu, 1.99737535116e-05, 96 128 32, 1.00598144531
0.0606978342777, leaky_relu, 0.0012430065578, 64 32 96, 0.680623888969
0.00634125395089, relu, 0.00385241043189, 128 32 64 96, 0.718755841255
0.180333413611, relu, 0.000120169677867, 128 96 32, 1.00639164448
0.000344345031424, relu, 0.00151603211885, 32 128, 0.738341331482
0.967686613397, leaky_relu, 1.55785743771e-05, 96 32 128, 334.140960693
0.000441977378962, leaky_relu, 0.0094850041736, 96 32 64, 0.648412048817
0.398447632247, relu, 2.1267567045e-05, 32 128 64, 1.00365149975
0.354265355307, relu, 0.00011600912257, 96 64 32 128, 1.00562882423
0.719835139733, relu, 0.0214725537143, 64 32 96, 1.00278890133
0.00434743441707, relu, 7.24940541727e-05, 96 32 64 128, 0.780727565289
0.00041492945805, leaky_relu, 0.0178854431472, 128 64 32, 0.679003834724
0.399286399461, leaky_relu, 0.0837869272911, 96 128 64 32, 1056122.625
0.0369343242105, leaky_relu, 1.64384483508e-05, 64 32 96 128, 1.0061827898
0.000570558889695, relu, 8.2283102853e-05, 64 32 128 96, 0.813380300999
0.00064008921456, relu, 0.0504867312338, 64 128 32, 0.994909524918
0.00567650704622, leaky_relu, 3.28261331189e-05, 96 128, 0.728331565857
0.000275878444898, relu, 0.000260748673758, 128 64 96, 0.690774798393
